target,RA_ICRS,e_RA,DE_ICRS,e_DE,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,std_delta_ra,std_delta_de,std_delta_pmra,std_delta_pmde,cov_delta_ra_de,cov_delta_ra_pmra,cov_delta_ra_pmde,cov_delta_de_pmra,cov_delta_de_pmde,cov_delta_pmra_pmde,problem
HD161566,267.6060976918992,0.0178369531237947,-61.9245148689275,0.0201516036072236,17.416669410633194,0.0333840964706685,-53.12906826341885,0.0328974714801634,24.178721210283037,0.0368332870924889,18.06380362546554,0.136907595821358,4.9547091961899535e-08,5.597667655036869e-08,0.3289738534614306,0.3683327247957081,-2.262405465251009e-24,1.4344178358918537e-15,-3.7316156211444645e-16,2.011514325210869e-16,7.218111778977004e-16,1.5541973070597816e-07,16
HD16193,38.97202923233092,0.0455025118632371,-3.0079154393197447,0.0397794120002965,11.429877327052957,0.0500284123401343,210.52113742253604,0.0935853484581834,10.38378948458016,0.0848135934510865,47.5818226243543,0.2402665709710514,1.2639586408560766e-07,1.1049836666309465e-07,0.935849752655232,0.8481359145841295,8.262177320430084e-24,6.202684526105334e-14,4.053745939579982e-15,-1.0646025732181568e-15,5.390004709038744e-22,-4.416938710071133e-07,33
HD162049,269.83890191885365,0.0626921167505214,-77.82389554492993,0.0831479672601643,6.761876288026259,0.0878094895395779,23.38403602885564,0.126834325982003,9.846654777051706,0.1594449736768014,17.94432188488269,0.8137524518617177,1.7414476860822949e-07,2.3096657108938647e-07,1.2683383027209394,1.594430746092718,1.3954140612133242e-22,-6.944765651846724e-15,-3.5742238941090274e-14,1.0304034824568789e-13,3.3123530118050985e-13,-2.178621627973777e-05,37
HD162236,267.7802776025971,0.048023240099906,-27.3968333133662,0.0441703616778592,22.38656440116908,0.0571786387545955,-56.02396535861963,0.092796168242951,-107.58555503463027,0.0725491667474288,-0.5280604747053452,0.2143396920117263,1.3339788215271526e-07,1.2269544907742012e-07,0.927868148093824,0.7254438591255586,-2.2146781142501166e-24,5.492916488599389e-13,3.1548033116166174e-13,-1.888877194599298e-15,-2.320217276174188e-15,-0.0001065997573123,1
HD162396,268.2199113105241,0.0431244567091975,-41.99734592701343,0.0428105247470699,31.272000867772576,0.0467936575564109,140.8707176397557,0.0804615941308843,-190.79453772957615,0.0672948350429604,-17.17319152232804,0.1897640773613441,1.197901434936265e-07,1.1891812241699221e-07,0.80456874478716,0.6727740903019582,4.517002286400318e-22,-3.6847004251858587e-13,7.997172852768214e-13,-5.257647239872026e-15,-1.881888469302165e-14,0.0001252817840977,0
HD162598,268.0681948312813,0.0457534533821944,-7.558887680941624,0.0431730983572581,32.660239232122294,0.0444882499024847,-229.653909874964,0.0892701655752518,353.0372734591476,0.0770932257607559,-24.23119689708729,0.3360206204201588,1.2709292505976424e-07,1.1992527314065662e-07,0.8926765935935699,0.7709088341604473,2.4586123645136046e-23,9.982246254042684e-14,-8.753075086834178e-14,-1.7098970738906273e-14,1.6781086936050387e-14,4.005424636336173e-05,1
HD16280,39.00363219691872,0.0258054815289392,-27.17908827794224,0.0287416162086158,30.34896218950328,0.0337909512565199,76.41351413433208,0.0545790527007649,-167.73745706478135,0.0585529185342565,11.704001216180314,0.5219445790448161,7.168189217146927e-08,7.98378218402353e-08,0.5457895357759723,0.5855155406382694,-6.472392592817887e-23,1.797428684291051e-15,2.7546057506131532e-14,3.5444644351617958e-15,1.2655963350441884e-14,1.5734359785552302e-06,0
HD16297,39.032257828227365,0.0237359543811024,-28.2184232291107,0.0334667448868962,26.82620014052137,0.0435811175577836,-78.17243330280962,0.0644862152275286,41.85876199615879,0.1041497215317352,-1.0638905605495994,0.1240032444412176,6.593320600351634e-08,9.29631779780761e-08,0.6448246763952638,1.0414509606314166,-9.031614858277338e-23,5.49925691003199e-14,-8.071907179547526e-15,2.9345892819204765e-14,1.4552256550318666e-13,3.302445492248169e-05,1
HD163441,268.9390271006085,0.0439743457548825,11.803754906293388,0.0516628381417964,17.16338545349667,0.0545183377136718,16.020278575522248,0.1033825479885685,-48.05308613010367,0.0960983265888757,12.136671002930033,0.1479536969828112,1.221509531927817e-07,1.435078797633754e-07,1.033824890860669,0.960981025891973,-5.025467044148342e-22,3.0579205265432414e-14,5.78363691736688e-14,-1.9858238253149067e-16,2.6080656552033006e-14,-1.2318226078312207e-06,36
HD16382,38.27448505432377,0.0251352668699574,-72.44368899037208,0.0227509930467779,20.16078973005716,0.0250798274807363,-86.42159632761292,0.0473568223953668,48.10055087653754,0.0432588901024957,9.953717342525469,0.1343798005864838,6.982018573819736e-08,6.319720282655325e-08,0.473566849004146,0.4325887988719554,-6.955016805717941e-25,1.2583809384612984e-15,-3.142971383714374e-16,1.682498909305859e-15,1.8632695288629078e-16,2.442984843887247e-07,1
HD16400,39.424355491900826,0.0961444185012972,-3.396360653115845,0.0920921130628189,9.848946273790096,0.1182790231815708,41.87376448668581,0.1901879372524051,-43.224889327889954,0.1969730343153011,9.25447252666817,0.1273811769393992,2.6706703498693977e-07,2.558110323754093e-07,1.9003188138646632,1.959643770899456,-2.917243628005126e-19,-5.0050991903421385e-11,1.2950853935851814e-10,-3.447381696940524e-11,8.909108338937729e-11,0.0152975943527037,32
HD16417,39.24410293747352,0.0316343971659839,-34.579090529591674,0.0398843775558622,39.35115170380691,0.0542958614644369,-18.24644823415277,0.0652658663378321,-257.8779106458739,0.0886633173436073,11.15373071629408,0.1378958412249973,8.787323528041985e-08,1.1078979705214547e-07,0.6524701237536781,0.8832447724178947,-8.592184084759068e-21,1.7376964987364757e-12,7.164816795478818e-12,1.1176332867830968e-12,8.475117635687716e-12,-0.0010586014475933,16
